epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,49,,0.9578918218612671,,
0,51,,,0.9898911714553833,0.9898911714553833
0,51,0.9862506985664368,,,
1,99,,0.8862926363945007,,
1,103,,,0.8337180614471436,0.8337180614471436
1,103,0.9143489003181458,,,
2,149,,0.7734229564666748,,
2,155,,,0.7893303036689758,0.7893303036689758
2,155,0.7036009430885315,,,
3,199,,0.45463648438453674,,
3,207,,,0.5999178290367126,0.5999178290367126
3,207,0.6044867634773254,,,
4,249,,0.3050977289676666,,
4,259,,,0.5852250456809998,0.5852250456809998
4,259,0.5374656915664673,,,
5,299,,0.7428101301193237,,
5,311,,,0.5213163495063782,0.5213163495063782
5,311,0.5324747562408447,,,
6,349,,0.3437812030315399,,
6,363,,,0.523567795753479,0.523567795753479
6,363,0.5159981846809387,,,
7,399,,0.45981061458587646,,
