epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,49,,0.9361379146575928,,
0,51,,,0.8197318315505981,0.8197318315505981
0,51,0.9845194220542908,,,
1,99,,0.6491313576698303,,
1,103,,,0.8843750953674316,0.8843750953674316
1,103,0.9076075553894043,,,
2,149,,0.5640894770622253,,
2,155,,,0.7650350332260132,0.7650350332260132
2,155,0.751722514629364,,,
3,199,,0.46935704350471497,,
3,207,,,0.5896568894386292,0.5896568894386292
3,207,0.6215668320655823,,,
4,249,,0.5013211369514465,,
4,259,,,0.6292073726654053,0.6292073726654053
4,259,0.5450991988182068,,,
5,299,,0.4560140371322632,,
5,311,,,0.5928075909614563,0.5928075909614563
5,311,0.5000219345092773,,,
6,349,,0.6254209280014038,,
6,363,,,0.5180503726005554,0.5180503726005554
6,363,0.4952535629272461,,,
7,399,,0.30519720911979675,,
7,415,,,0.5012018084526062,0.5012018084526062
7,415,0.47108927369117737,,,
8,449,,0.6158580780029297,,
8,467,,,0.5147584080696106,0.5147584080696106
8,467,0.45756587386131287,,,
9,499,,0.4011426270008087,,
9,519,,,0.4915860593318939,0.4915860593318939
9,519,0.44565412402153015,,,
10,549,,0.47484785318374634,,
10,571,,,0.4669248163700104,0.4669248163700104
10,571,0.4326661229133606,,,
11,599,,0.3186704218387604,,
11,623,,,0.4726116955280304,0.4726116955280304
11,623,0.41473183035850525,,,
12,649,,0.3600754141807556,,
12,675,,,0.45609810948371887,0.45609810948371887
12,675,0.40061521530151367,,,
13,699,,0.40283456444740295,,
13,727,,,0.4850594699382782,0.4850594699382782
13,727,0.3950293958187103,,,
14,749,,0.34906741976737976,,
14,779,,,0.450281023979187,0.450281023979187
14,779,0.40431153774261475,,,
15,799,,0.29810476303100586,,
15,831,,,0.44660627841949463,0.44660627841949463
15,831,0.38855358958244324,,,
16,849,,0.47895190119743347,,
16,883,,,0.4826710820198059,0.4826710820198059
16,883,0.37629035115242004,,,
17,899,,0.3370898962020874,,
17,935,,,0.436509907245636,0.436509907245636
17,935,0.3737299144268036,,,
18,949,,0.48330289125442505,,
18,987,,,0.435578316450119,0.435578316450119
18,987,0.36376750469207764,,,
19,999,,0.38074979186058044,,
19,1039,,,0.43362700939178467,0.43362700939178467
19,1039,0.3639093339443207,,,
20,1049,,0.22076019644737244,,
20,1091,,,0.4392459988594055,0.4392459988594055
20,1091,0.34959831833839417,,,
21,1099,,0.4911155700683594,,
21,1143,,,0.4296322762966156,0.4296322762966156
21,1143,0.3450569212436676,,,
22,1149,,0.2025553584098816,,
22,1195,,,0.42743074893951416,0.42743074893951416
22,1195,0.34003570675849915,,,
23,1199,,0.3168509006500244,,
23,1247,,,0.43386122584342957,0.43386122584342957
23,1247,0.33618706464767456,,,
24,1249,,0.294102281332016,,
24,1299,,0.23045939207077026,,
24,1299,,,0.4190298914909363,0.4190298914909363
24,1299,0.3274507522583008,,,
25,1349,,0.26735860109329224,,
25,1351,,,0.40974822640419006,0.40974822640419006
25,1351,0.3233639895915985,,,
26,1399,,0.19896899163722992,,
26,1403,,,0.40136316418647766,0.40136316418647766
26,1403,0.32837197184562683,,,
27,1449,,0.3249523639678955,,
27,1455,,,0.4102696478366852,0.4102696478366852
27,1455,0.32230696082115173,,,
28,1499,,0.36407795548439026,,
28,1507,,,0.40890297293663025,0.40890297293663025
28,1507,0.32598137855529785,,,
29,1549,,0.40743350982666016,,
29,1559,,,0.4070461094379425,0.4070461094379425
29,1559,0.311136931180954,,,
30,1599,,0.37918588519096375,,
30,1611,,,0.4056524932384491,0.4056524932384491
30,1611,0.3047530949115753,,,
31,1649,,0.2573716640472412,,
31,1663,,,0.42289939522743225,0.42289939522743225
31,1663,0.3062494099140167,,,
32,1699,,0.3711015582084656,,
32,1715,,,0.4169350266456604,0.4169350266456604
32,1715,0.30528873205184937,,,
33,1749,,0.2606695294380188,,
33,1767,,,0.3938514292240143,0.3938514292240143
33,1767,0.2940073311328888,,,
34,1799,,0.24102723598480225,,
34,1819,,,0.41535019874572754,0.41535019874572754
34,1819,0.2893485426902771,,,
35,1849,,0.4713258147239685,,
35,1871,,,0.39489293098449707,0.39489293098449707
35,1871,0.29176950454711914,,,
36,1899,,0.32417935132980347,,
36,1923,,,0.3970976769924164,0.3970976769924164
36,1923,0.2865448296070099,,,
37,1949,,0.3144145607948303,,
37,1975,,,0.40541043877601624,0.40541043877601624
37,1975,0.2795500159263611,,,
38,1999,,0.3338838219642639,,
38,2027,,,0.3885379433631897,0.3885379433631897
38,2027,0.28497371077537537,,,
39,2049,,0.2348756492137909,,
39,2079,,,0.4173280596733093,0.4173280596733093
39,2079,0.2775058150291443,,,
40,2099,,0.22527079284191132,,
40,2131,,,0.3922606110572815,0.3922606110572815
40,2131,0.27590733766555786,,,
41,2149,,0.42440924048423767,,
41,2183,,,0.388168603181839,0.388168603181839
41,2183,0.269186407327652,,,
42,2199,,0.14898258447647095,,
42,2235,,,0.38798749446868896,0.38798749446868896
42,2235,0.269989013671875,,,
43,2249,,0.15319670736789703,,
43,2287,,,0.38428187370300293,0.38428187370300293
43,2287,0.26445627212524414,,,
44,2299,,0.25424128770828247,,
44,2339,,,0.3902724087238312,0.3902724087238312
44,2339,0.2624821960926056,,,
45,2349,,0.2523961663246155,,
45,2391,,,0.38220250606536865,0.38220250606536865
45,2391,0.2597335875034332,,,
46,2399,,0.2743780016899109,,
46,2443,,,0.3801718056201935,0.3801718056201935
46,2443,0.2604258954524994,,,
47,2449,,0.21829397976398468,,
47,2495,,,0.37980785965919495,0.37980785965919495
47,2495,0.2617960572242737,,,
48,2499,,0.2938863933086395,,
48,2547,,,0.38394707441329956,0.38394707441329956
48,2547,0.25570496916770935,,,
49,2549,,0.2575528025627136,,
49,2599,,0.2874637246131897,,
49,2599,,,0.3843241035938263,0.3843241035938263
49,2599,0.2513996958732605,,,
